## Experimento conduzido por Antonio Ariel Canedo Rivera
## (http://lattes.cnpq.br/2963994727678120), aluno de mestrado da UFLA
## (2009).
##
## Experimento sob tipos de armazenamentos de sementes de milho doce.
## Avaliou a influencia de diferentes doses de giberelina, na velocidade
## de germinação de sementes de milho doce durante o armazenamento, de
## acordo com os tipos de embalagem e tamanhos de sementes durante o
## armazenamento. Sementes de dois tipos de peneira foram armazenadas
## com diferentes doses de giberelina em embalagens à vácuo e permeáveis
## sob temperaturas de 10C e 25C. Depois de armazenadas, as sementes
## foram avaliadas 0, 30, 60, 120 240 dias após o armazenamento e a
## germinação foi inspecioanda por meio da observação por 7 dias de 50
## sementes onde registrou-se o número se sementes germinadas acumuladas
## ao longo dos dias. Foram usadas 4 repetições.
##
## embalagem: tipo de embalagem para sementes, embaladas à vácuo ou em
##            embalagens permeáveis;
## peneira: tipo de peneira para separar sementes de milho, redonda ou
##          chata;
## temperat: temperatura de armazenamento, 10ºC e temperatura ambiente
##           na UBS do Laboratório de Análise de Sementes do DAG/UFLA;
## giberelina: tratamento com giberelina nas concentrações de 0, 10, e
##             20 mg/L;
## armaz: avaliações antes do armazenamento e após 30, 60, 120 e 240
##        dias;
## dia: dia de observação da germinação, de 1 à 7
## emergidas: número de sementes emergidas, de um total de 50, em cada
##            dia de observação da germinação;
## rept: unidade experimental que é avaliada ao longo dos 7 dias de
##       observação da emergência.
##
embalagem	peneira	temperat	giberelina	armaz	dia	rept	emergidas
vacuo	chata	25	0	60	4	1	37
vacuo	chata	25	0	60	5	1	40
vacuo	chata	25	0	60	6	1	41
vacuo	chata	25	0	60	7	1	41
vacuo	chata	25	0	120	1	1	0
vacuo	chata	25	0	120	2	1	0
vacuo	chata	25	0	120	3	1	0
vacuo	chata	25	0	120	4	1	32
vacuo	chata	25	0	120	5	1	34
vacuo	chata	25	0	120	6	1	35
vacuo	chata	25	0	120	7	1	35
vacuo	chata	25	0	240	1	1	0
vacuo	chata	25	0	240	2	1	0
vacuo	chata	25	0	240	3	1	0
vacuo	chata	25	0	240	4	1	0
vacuo	chata	25	0	240	5	1	0
vacuo	chata	25	0	240	6	1	0
vacuo	chata	25	0	240	7	1	9
vacuo	chata	25	10	0	1	1	7
vacuo	chata	25	10	0	2	1	27
vacuo	chata	25	10	0	3	1	31
vacuo	chata	25	10	0	4	1	31
vacuo	chata	25	10	0	5	1	31
vacuo	chata	25	10	0	6	1	31
vacuo	chata	25	10	0	7	1	31
vacuo	chata	25	10	30	1	1	0
vacuo	chata	25	10	30	2	1	0
vacuo	chata	25	10	30	3	1	1
vacuo	chata	25	10	30	4	1	27
vacuo	chata	25	10	30	5	1	36
vacuo	chata	25	10	30	6	1	37
vacuo	chata	25	10	30	7	1	40
vacuo	chata	25	10	60	1	1	0
vacuo	chata	25	10	60	2	1	0
vacuo	chata	25	10	60	3	1	0
vacuo	chata	25	10	60	4	1	16
vacuo	chata	25	10	60	5	1	34
vacuo	chata	25	10	60	6	1	38
vacuo	chata	25	10	60	7	1	38
vacuo	chata	25	10	120	1	1	0
vacuo	chata	25	10	120	2	1	0
vacuo	chata	25	10	120	3	1	0
vacuo	chata	25	10	120	4	1	31
vacuo	chata	25	10	120	5	1	33
vacuo	chata	25	10	120	6	1	33
vacuo	chata	25	10	120	7	1	34
vacuo	chata	25	10	240	1	1	0
vacuo	chata	25	10	240	2	1	0
vacuo	chata	25	10	240	3	1	0
vacuo	chata	25	10	240	4	1	0
vacuo	chata	25	10	240	5	1	0
vacuo	chata	25	10	240	6	1	0
vacuo	chata	25	10	240	7	1	14
vacuo	chata	25	20	0	1	1	7
vacuo	chata	25	20	0	2	1	28
vacuo	chata	25	20	0	3	1	31
vacuo	chata	25	20	0	4	1	33
vacuo	chata	25	20	0	5	1	33
vacuo	chata	25	20	0	6	1	33
vacuo	chata	25	20	0	7	1	33
vacuo	chata	25	20	30	1	1	0
vacuo	chata	25	20	30	2	1	0
vacuo	chata	25	20	30	3	1	0
vacuo	chata	25	20	30	4	1	29
vacuo	chata	25	20	30	5	1	42
vacuo	chata	25	20	30	6	1	43
vacuo	chata	25	20	30	7	1	46
vacuo	chata	25	20	60	1	1	0
vacuo	chata	25	20	60	2	1	0
vacuo	chata	25	20	60	3	1	0
vacuo	chata	25	20	60	4	1	32
vacuo	chata	25	20	60	5	1	38
vacuo	chata	25	20	60	6	1	40
vacuo	chata	25	20	60	7	1	42
vacuo	chata	25	20	120	1	1	0
vacuo	chata	25	20	120	2	1	0
vacuo	chata	25	20	120	3	1	0
vacuo	chata	25	20	120	4	1	21
vacuo	chata	25	20	120	5	1	23
vacuo	chata	25	20	120	6	1	24
vacuo	chata	25	20	120	7	1	24
vacuo	chata	25	20	240	1	1	0
vacuo	chata	25	20	240	2	1	0
vacuo	chata	25	20	240	3	1	0
vacuo	chata	25	20	240	4	1	0
vacuo	chata	25	20	240	5	1	0
vacuo	chata	25	20	240	6	1	0
vacuo	chata	25	20	240	7	1	3
vacuo	redonda	10	0	0	1	1	4
vacuo	redonda	10	0	0	2	1	28
vacuo	redonda	10	0	0	3	1	30
vacuo	redonda	10	0	0	4	1	30
vacuo	redonda	10	0	0	5	1	31
vacuo	redonda	10	0	0	6	1	31
vacuo	redonda	10	0	0	7	1	31
vacuo	redonda	10	0	30	1	1	0
vacuo	redonda	10	0	30	2	1	0
vacuo	redonda	10	0	30	3	1	0
vacuo	redonda	10	0	30	4	1	3
vacuo	redonda	10	0	30	5	1	43
vacuo	redonda	10	0	30	6	1	43
vacuo	redonda	10	0	30	7	1	44
vacuo	redonda	10	0	60	1	1	0
vacuo	redonda	10	0	60	2	1	0
vacuo	redonda	10	0	60	3	1	11
vacuo	redonda	10	0	60	4	1	41
vacuo	redonda	10	0	60	5	1	43
vacuo	redonda	10	0	60	6	1	44
vacuo	redonda	10	0	60	7	1	44
vacuo	redonda	10	0	120	1	1	0
vacuo	redonda	10	0	120	2	1	0
vacuo	redonda	10	0	120	3	1	5
vacuo	redonda	10	0	120	4	1	40
vacuo	redonda	10	0	120	5	1	42
vacuo	redonda	10	0	120	6	1	43
vacuo	redonda	10	0	120	7	1	43
vacuo	redonda	10	0	240	1	1	0
vacuo	redonda	10	0	240	2	1	0
vacuo	redonda	10	0	240	3	1	0
vacuo	redonda	10	0	240	4	1	0
vacuo	redonda	10	0	240	5	1	26
vacuo	redonda	10	0	240	6	1	39
vacuo	redonda	10	0	240	7	1	41
vacuo	redonda	10	10	0	1	1	11
vacuo	redonda	10	10	0	2	1	34
vacuo	redonda	10	10	0	3	1	36
vacuo	redonda	10	10	0	4	1	37
vacuo	redonda	10	10	0	5	1	37
vacuo	redonda	10	10	0	6	1	37
vacuo	redonda	10	10	0	7	1	37
vacuo	redonda	10	10	30	1	1	0
vacuo	redonda	10	10	30	2	1	0
vacuo	redonda	10	10	30	3	1	3
vacuo	redonda	10	10	30	4	1	38
vacuo	redonda	10	10	30	5	1	41
vacuo	redonda	10	10	30	6	1	41
vacuo	redonda	10	10	30	7	1	41
vacuo	redonda	10	10	60	1	1	0
vacuo	redonda	10	10	60	2	1	0
vacuo	redonda	10	10	60	3	1	0
vacuo	redonda	10	10	60	4	1	32
vacuo	redonda	10	10	60	5	1	42
vacuo	redonda	10	10	60	6	1	43
vacuo	redonda	10	10	60	7	1	45
vacuo	redonda	10	10	120	1	1	0
vacuo	redonda	10	10	120	2	1	0
vacuo	redonda	10	10	120	3	1	2
vacuo	redonda	10	10	120	4	1	39
vacuo	redonda	10	10	120	5	1	43
vacuo	redonda	10	10	120	6	1	45
vacuo	redonda	10	10	120	7	1	45
vacuo	redonda	10	10	240	1	1	0
vacuo	redonda	10	10	240	2	1	0
vacuo	redonda	10	10	240	3	1	0
vacuo	redonda	10	10	240	4	1	0
vacuo	redonda	10	10	240	5	1	23
vacuo	redonda	10	10	240	6	1	41
vacuo	redonda	10	10	240	7	1	41
vacuo	redonda	10	20	0	1	1	8
vacuo	redonda	10	20	0	2	1	28
vacuo	redonda	10	20	0	3	1	32
vacuo	redonda	10	20	0	4	1	32
vacuo	redonda	10	20	0	5	1	32
vacuo	redonda	10	20	0	6	1	32
vacuo	redonda	10	20	0	7	1	32
vacuo	redonda	10	20	30	1	1	0
vacuo	redonda	10	20	30	2	1	0
vacuo	redonda	10	20	30	3	1	13
vacuo	redonda	10	20	30	4	1	40
vacuo	redonda	10	20	30	5	1	41
vacuo	redonda	10	20	30	6	1	41
vacuo	redonda	10	20	30	7	1	41
vacuo	redonda	10	20	60	1	1	0
vacuo	redonda	10	20	60	2	1	0
vacuo	redonda	10	20	60	3	1	4
vacuo	redonda	10	20	60	4	1	39
vacuo	redonda	10	20	60	5	1	42
vacuo	redonda	10	20	60	6	1	42
vacuo	redonda	10	20	60	7	1	44
vacuo	redonda	10	20	120	1	1	0
vacuo	redonda	10	20	120	2	1	0
vacuo	redonda	10	20	120	3	1	0
vacuo	redonda	10	20	120	4	1	28
vacuo	redonda	10	20	120	5	1	41
vacuo	redonda	10	20	120	6	1	43
vacuo	redonda	10	20	120	7	1	43
vacuo	redonda	10	20	240	1	1	0
vacuo	redonda	10	20	240	2	1	0
vacuo	redonda	10	20	240	3	1	0
vacuo	redonda	10	20	240	4	1	0
vacuo	redonda	10	20	240	5	1	32
vacuo	redonda	10	20	240	6	1	38
vacuo	redonda	10	20	240	7	1	41
vacuo	redonda	25	0	0	1	1	4
vacuo	redonda	25	0	0	2	1	28
vacuo	redonda	25	0	0	3	1	30
vacuo	redonda	25	0	0	4	1	30
vacuo	redonda	25	0	0	5	1	31
vacuo	redonda	25	0	0	6	1	31
vacuo	redonda	25	0	0	7	1	31
vacuo	redonda	25	0	30	1	1	0
vacuo	redonda	25	0	30	2	1	0
vacuo	redonda	25	0	30	3	1	1
vacuo	redonda	25	0	30	4	1	31
vacuo	redonda	25	0	30	5	1	40
vacuo	redonda	25	0	30	6	1	40
vacuo	redonda	25	0	30	7	1	40
vacuo	redonda	25	0	60	1	1	0
vacuo	redonda	25	0	60	2	1	0
vacuo	redonda	25	0	60	3	1	1
vacuo	redonda	25	0	60	4	1	37
vacuo	redonda	25	0	60	5	1	40
vacuo	redonda	25	0	60	6	1	41
vacuo	redonda	25	0	60	7	1	41
vacuo	redonda	25	0	120	1	1	0
vacuo	redonda	25	0	120	2	1	0
vacuo	redonda	25	0	120	3	1	2
vacuo	redonda	25	0	120	4	1	31
vacuo	redonda	25	0	120	5	1	35
vacuo	redonda	25	0	120	6	1	36
vacuo	redonda	25	0	120	7	1	36
vacuo	redonda	25	0	240	1	1	0
vacuo	redonda	25	0	240	2	1	0
vacuo	redonda	25	0	240	3	1	0
vacuo	redonda	25	0	240	4	1	0
vacuo	redonda	25	0	240	5	1	0
vacuo	redonda	25	0	240	6	1	12
vacuo	redonda	25	0	240	7	1	23
vacuo	redonda	25	10	0	1	1	11
vacuo	redonda	25	10	0	2	1	34
vacuo	redonda	25	10	0	3	1	36
vacuo	redonda	25	10	0	4	1	37
vacuo	redonda	25	10	0	5	1	37
vacuo	redonda	25	10	0	6	1	37
vacuo	redonda	25	10	0	7	1	37
vacuo	redonda	25	10	30	1	1	0
vacuo	redonda	25	10	30	2	1	0
vacuo	redonda	25	10	30	3	1	5
vacuo	redonda	25	10	30	4	1	37
vacuo	redonda	25	10	30	5	1	41
vacuo	redonda	25	10	30	6	1	42
vacuo	redonda	25	10	30	7	1	42
vacuo	redonda	25	10	60	1	1	0
vacuo	redonda	25	10	60	2	1	0
vacuo	redonda	25	10	60	3	1	1
vacuo	redonda	25	10	60	4	1	38
vacuo	redonda	25	10	60	5	1	41
vacuo	redonda	25	10	60	6	1	41
vacuo	redonda	25	10	60	7	1	41
vacuo	redonda	25	10	120	1	1	0
vacuo	redonda	25	10	120	2	1	0
vacuo	redonda	25	10	120	3	1	2
vacuo	redonda	25	10	120	4	1	39
vacuo	redonda	25	10	120	5	1	40
vacuo	redonda	25	10	120	6	1	40
vacuo	redonda	25	10	120	7	1	40
vacuo	redonda	25	10	240	1	1	0
vacuo	redonda	25	10	240	2	1	0
vacuo	redonda	25	10	240	3	1	0
vacuo	redonda	25	10	240	4	1	0
vacuo	redonda	25	10	240	5	1	0
vacuo	redonda	25	10	240	6	1	3
vacuo	redonda	25	10	240	7	1	11
vacuo	redonda	25	20	0	1	1	8
vacuo	redonda	25	20	0	2	1	28
vacuo	redonda	25	20	0	3	1	32
vacuo	redonda	25	20	0	4	1	32
vacuo	redonda	25	20	0	5	1	32
vacuo	redonda	25	20	0	6	1	32
vacuo	redonda	25	20	0	7	1	32
vacuo	redonda	25	20	30	1	1	0
vacuo	redonda	25	20	30	2	1	0
vacuo	redonda	25	20	30	3	1	2
vacuo	redonda	25	20	30	4	1	39
vacuo	redonda	25	20	30	5	1	41
vacuo	redonda	25	20	30	6	1	41
vacuo	redonda	25	20	30	7	1	42
vacuo	redonda	25	20	60	1	1	0
vacuo	redonda	25	20	60	2	1	0
vacuo	redonda	25	20	60	3	1	3
vacuo	redonda	25	20	60	4	1	33
vacuo	redonda	25	20	60	5	1	37
vacuo	redonda	25	20	60	6	1	38
vacuo	redonda	25	20	60	7	1	38
vacuo	redonda	25	20	120	1	1	0
vacuo	redonda	25	20	120	2	1	0
vacuo	redonda	25	20	120	3	1	0
vacuo	redonda	25	20	120	4	1	30
vacuo	redonda	25	20	120	5	1	33
vacuo	redonda	25	20	120	6	1	35
vacuo	redonda	25	20	120	7	1	35
vacuo	redonda	25	20	240	1	1	0
vacuo	redonda	25	20	240	2	1	0
vacuo	redonda	25	20	240	3	1	0
vacuo	redonda	25	20	240	4	1	0
vacuo	redonda	25	20	240	5	1	2
vacuo	redonda	25	20	240	6	1	13
vacuo	redonda	25	20	240	7	1	17
permeavel	chata	10	0	0	1	1	12
permeavel	chata	10	0	0	2	1	33
permeavel	chata	10	0	0	3	1	38
permeavel	chata	10	0	0	4	1	40
permeavel	chata	10	0	0	5	1	40
permeavel	chata	10	0	0	6	1	40
permeavel	chata	10	0	0	7	1	40
permeavel	chata	10	0	30	1	1	0
permeavel	chata	10	0	30	2	1	0
permeavel	chata	10	0	30	3	1	3
permeavel	chata	10	0	30	4	1	46
permeavel	chata	10	0	30	5	1	46
permeavel	chata	10	0	30	6	1	46
permeavel	chata	10	0	30	7	1	47
permeavel	chata	10	0	60	1	1	0
permeavel	chata	10	0	60	2	1	0
permeavel	chata	10	0	60	3	1	15
permeavel	chata	10	0	60	4	1	40
permeavel	chata	10	0	60	5	1	42
permeavel	chata	10	0	60	6	1	44
permeavel	chata	10	0	60	7	1	44
permeavel	chata	10	0	120	1	1	0
permeavel	chata	10	0	120	2	1	0
permeavel	chata	10	0	120	3	1	8
permeavel	chata	10	0	120	4	1	37
permeavel	chata	10	0	120	5	1	43
permeavel	chata	10	0	120	6	1	43
permeavel	chata	10	0	120	7	1	43
permeavel	chata	10	0	240	1	1	0
permeavel	chata	10	0	240	2	1	0
permeavel	chata	10	0	240	3	1	0
permeavel	chata	10	0	240	4	1	2
permeavel	chata	10	0	240	5	1	34
permeavel	chata	10	0	240	6	1	39
permeavel	chata	10	0	240	7	1	40
permeavel	chata	10	10	0	1	1	7
permeavel	chata	10	10	0	2	1	27
permeavel	chata	10	10	0	3	1	31
permeavel	chata	10	10	0	4	1	31
permeavel	chata	10	10	0	5	1	31
permeavel	chata	10	10	0	6	1	31
permeavel	chata	10	10	0	7	1	31
permeavel	chata	10	10	30	1	1	0
permeavel	chata	10	10	30	2	1	0
permeavel	chata	10	10	30	3	1	10
permeavel	chata	10	10	30	4	1	40
permeavel	chata	10	10	30	5	1	40
permeavel	chata	10	10	30	6	1	40
permeavel	chata	10	10	30	7	1	40
permeavel	chata	10	10	60	1	1	0
permeavel	chata	10	10	60	2	1	0
permeavel	chata	10	10	60	3	1	16
permeavel	chata	10	10	60	4	1	42
permeavel	chata	10	10	60	5	1	43
permeavel	chata	10	10	60	6	1	43
permeavel	chata	10	10	60	7	1	43
permeavel	chata	10	10	120	1	1	0
permeavel	chata	10	10	120	2	1	0
permeavel	chata	10	10	120	3	1	12
permeavel	chata	10	10	120	4	1	39
permeavel	chata	10	10	120	5	1	43
permeavel	chata	10	10	120	6	1	44
permeavel	chata	10	10	120	7	1	44
permeavel	chata	10	10	240	1	1	0
permeavel	chata	10	10	240	2	1	0
permeavel	chata	10	10	240	3	1	0
permeavel	chata	10	10	240	4	1	0
permeavel	chata	10	10	240	5	1	2
permeavel	chata	10	10	240	6	1	27
permeavel	chata	10	10	240	7	1	39
permeavel	chata	10	20	0	1	1	7
permeavel	chata	10	20	0	2	1	28
permeavel	chata	10	20	0	3	1	31
permeavel	chata	10	20	0	4	1	33
permeavel	chata	10	20	0	5	1	33
permeavel	chata	10	20	0	6	1	33
permeavel	chata	10	20	0	7	1	33
permeavel	chata	10	20	30	1	1	0
permeavel	chata	10	20	30	2	1	0
permeavel	chata	10	20	30	3	1	16
permeavel	chata	10	20	30	4	1	40
permeavel	chata	10	20	30	5	1	41
permeavel	chata	10	20	30	6	1	42
permeavel	chata	10	20	30	7	1	42
permeavel	chata	10	20	60	1	1	0
permeavel	chata	10	20	60	2	1	0
permeavel	chata	10	20	60	3	1	19
permeavel	chata	10	20	60	4	1	43
permeavel	chata	10	20	60	5	1	44
permeavel	chata	10	20	60	6	1	44
permeavel	chata	10	20	60	7	1	44
permeavel	chata	10	20	120	1	1	0
permeavel	chata	10	20	120	2	1	0
permeavel	chata	10	20	120	3	1	10
permeavel	chata	10	20	120	4	1	41
permeavel	chata	10	20	120	5	1	42
permeavel	chata	10	20	120	6	1	43
permeavel	chata	10	20	120	7	1	43
permeavel	chata	10	20	240	1	1	0
permeavel	chata	10	20	240	2	1	0
permeavel	chata	10	20	240	3	1	0
permeavel	chata	10	20	240	4	1	0
permeavel	chata	10	20	240	5	1	0
permeavel	chata	10	20	240	6	1	5
permeavel	chata	10	20	240	7	1	37
permeavel	chata	25	0	0	1	1	12
permeavel	chata	25	0	0	2	1	33
permeavel	chata	25	0	0	3	1	38
permeavel	chata	25	0	0	4	1	40
permeavel	chata	25	0	0	5	1	40
permeavel	chata	25	0	0	6	1	40
permeavel	chata	25	0	0	7	1	40
permeavel	chata	25	0	30	1	1	0
permeavel	chata	25	0	30	2	1	0
permeavel	chata	25	0	30	3	1	12
permeavel	chata	25	0	30	4	1	35
permeavel	chata	25	0	30	5	1	36
permeavel	chata	25	0	30	6	1	37
permeavel	chata	25	0	30	7	1	37
permeavel	chata	25	0	60	1	1	0
permeavel	chata	25	0	60	2	1	0
permeavel	chata	25	0	60	3	1	12
permeavel	chata	25	0	60	4	1	36
permeavel	chata	25	0	60	5	1	42
permeavel	chata	25	0	60	6	1	43
permeavel	chata	25	0	60	7	1	45
permeavel	chata	25	0	120	1	1	0
permeavel	chata	25	0	120	2	1	0
permeavel	chata	25	0	120	3	1	0
permeavel	chata	25	0	120	4	1	28
permeavel	chata	25	0	120	5	1	30
permeavel	chata	25	0	120	6	1	31
permeavel	chata	25	0	120	7	1	32
permeavel	chata	25	0	240	1	1	0
permeavel	chata	25	0	240	2	1	0
permeavel	chata	25	0	240	3	1	0
permeavel	chata	25	0	240	4	1	0
permeavel	chata	25	0	240	5	1	4
permeavel	chata	25	0	240	6	1	13
permeavel	chata	25	0	240	7	1	16
permeavel	chata	25	10	0	1	1	7
permeavel	chata	25	10	0	2	1	27
permeavel	chata	25	10	0	3	1	31
permeavel	chata	25	10	0	4	1	31
permeavel	chata	25	10	0	5	1	31
permeavel	chata	25	10	0	6	1	31
permeavel	chata	25	10	0	7	1	31
permeavel	chata	25	10	30	1	1	0
permeavel	chata	25	10	30	2	1	0
permeavel	chata	25	10	30	3	1	2
permeavel	chata	25	10	30	4	1	34
permeavel	chata	25	10	30	5	1	41
permeavel	chata	25	10	30	6	1	41
permeavel	chata	25	10	30	7	1	42
permeavel	chata	25	10	60	1	1	0
permeavel	chata	25	10	60	2	1	0
permeavel	chata	25	10	60	3	1	1
permeavel	chata	25	10	60	4	1	29
permeavel	chata	25	10	60	5	1	40
permeavel	chata	25	10	60	6	1	43
permeavel	chata	25	10	60	7	1	43
permeavel	chata	25	10	120	1	1	0
permeavel	chata	25	10	120	2	1	0
permeavel	chata	25	10	120	3	1	0
permeavel	chata	25	10	120	4	1	27
permeavel	chata	25	10	120	5	1	29
permeavel	chata	25	10	120	6	1	29
permeavel	chata	25	10	120	7	1	30
permeavel	chata	25	10	240	1	1	0
permeavel	chata	25	10	240	2	1	0
permeavel	chata	25	10	240	3	1	0
permeavel	chata	25	10	240	4	1	0
permeavel	chata	25	10	240	5	1	1
permeavel	chata	25	10	240	6	1	9
permeavel	chata	25	10	240	7	1	17
permeavel	chata	25	20	0	1	1	7
permeavel	chata	25	20	0	2	1	28
permeavel	chata	25	20	0	3	1	31
permeavel	chata	25	20	0	4	1	33
permeavel	chata	25	20	0	5	1	33
permeavel	chata	25	20	0	6	1	33
permeavel	chata	25	20	0	7	1	33
permeavel	chata	25	20	30	1	1	0
permeavel	chata	25	20	30	2	1	0
permeavel	chata	25	20	30	3	1	14
permeavel	chata	25	20	30	4	1	32
permeavel	chata	25	20	30	5	1	43
permeavel	chata	25	20	30	6	1	45
permeavel	chata	25	20	30	7	1	45
permeavel	chata	25	20	60	1	1	0
permeavel	chata	25	20	60	2	1	0
permeavel	chata	25	20	60	3	1	8
permeavel	chata	25	20	60	4	1	40
permeavel	chata	25	20	60	5	1	40
permeavel	chata	25	20	60	6	1	40
